"","A Few","All","Always","Each","Every","Few","Frequently","Infrequently","Many","Most","Never","No","Occasionally","Rarely","Seldom","Several","Some","Sometimes","Usually","Mostly","Often"
"1","13","100","0","100","100","7","100","25","68","86","37","0","51","100","100","16","41","31","51","70",70
"2","11","100","86","90","91","30","30","24","58","76","7","0","94","18","76","36","63","78","29","70",14
"3","8","100","100","95","95","100","70","30","85","90","0","0","40","10","100","9","30","65","65","94",85
"4","50","100","97","100","25","20","77","13","75","70","0","0","23","15","11","10","35","12","70","73",72
"5","50","100","100","100","100","10","86","5","80","80","0","0","25","20","6","10","90","20","100","91",25
"6","35","35","100","75","95","4","70","8","60","16","0","0","18","2","11","50","20","25","90","100",70
"7","9","100","100","100","100","14","54","20","43","79","0","0","20","15","10","6","25","30","84","50",50
"8","2","100","100","100","100","10","85","5","50","25","0","0","15","2","1","4","5","20","80","91",77
"9","15","100","100","100","100","15","69","16","60","70","0","0","10","4","6","60","40","27","60","72",25
"10","15","100","0","100","100","15","100","10","85","90","0","0","20","0","25","70","35","20","0","90",36
"11","6","100","9","100","100","35","23","29","57","80","100","0","38","95","18","30","20","32","35","92",45
"12","8","100","100","100","78","6","95","30","56","87","0","0","25","15","5","57","23","35","60","80",71
"13","13","100","100","100","100","14","88","9","77","84","0","0","51","6","14","8","34","47","100","80",90
"14","80","25","100","78","65","65","57","10","40","32","0","50","15","10","5","90","75","20","90","64",90
"15","92","94","100","91","94","97","75","10","96","96","0","99","50","5","5","94","89","50","65","60",80
"16","11","100","80","7","100","20","70","25","30","75","0","0","35","30","10","14","28","40","75","65",40
"17","5","80","90","100","100","20","33","15","90","95","0","0","45","10","5","80","40","25","85","64",58
"18","33","79","100","100","100","13","68","5","75","95","0","0","35","4","9","20","51","43","84","80",75
"19","3","91","95","10","50","30","80","10","91","70","0","10","10","5","10","7","30","50","90","75",83
"20","13","100","100","100","100","13","80","16","68","92","0","0","40","10","5","17","17","50","75","20",74
"21","4","100","100","100","100","3","83","19","75","60","0","0","24","5","8","7","35","46","82","81",100
"22","9","100","28","100","100","4","16","20","35","80","0","0","13","39","100","25","25","0","66","93",85
"23","20","100","97","100","100","15","40","35","60","65","0","0","25","10","15","15","40","20","85","80",86
