Finished,Every_day,each_day,all_days,most_days,many_days,some_days,several_days,a_few_days,few_days,no_days,Always,Usually,Mostly,Often,Frequently,Sometimes,Occasionally,Seldom,Rarely,Infrequently,Never
Finished,"Every day

 

",Each day,All days,most days,Many days,some days,several days,a few days,few days,no days,always,usually,mostly,often,frequently,sometimes,occasionally,seldom,rarely,infrequently,never
"{""ImportId"":""finished""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}"
TRUE,100,100,100,90,64,15,63,3,3,,,,,,,,,,,,
TRUE,,,,,,,,,,,91,66,73,73,80,23,29,4,20,20,2
TRUE,,,,,,,,,,,96,66,64,39,49,29,20,10,8,32,1
TRUE,100,100,100,80,65,40,24,3,5,,,,,,,,,,,,
TRUE,,,,,,,,,,,95,80,90,75,90,40,20,10,15,80,0
TRUE,100,100,100,77,64,31,18,13,6,,,,,,,,,,,,
TRUE,72,100,100,81,80,40,57,6,17,0,,,,,,,,,,,
TRUE,,,,,,,,,,,100,85,90,75,75,50,30,15,15,30,
TRUE,,,,,,,,,,,91,70,66,58,70,50,33,8,17,20,0
TRUE,79,76,100,66,62,53,64,17,21,,,,,,,,,,,,
TRUE,100,100,100,75,65,50,25,15,10,,,,,,,,,,,,
TRUE,,,,,,,,,,,90,80,70,65,70,30,30,25,10,25,
TRUE,100,100,100,71,68,31,5,9,14,,,,,,,,,,,,
TRUE,100,100,100,85,75,32,7,6,13,,,,,,,,,,,,
TRUE,,,,,,,,,,,93,85,67,54,82,26,23,9,13,56,
TRUE,,,,,,,,,,,81,39,71,44,67,38,23,7,11,23,2
TRUE,,,,,,,,,,,85,70,61,22,51,24,20,5,20,33,
TRUE,,,,,,,,,,,98,70,68,55,60,38,30,25,15,30,2
TRUE,100,100,100,75,50,35,35,15,25,,,,,,,,,,,,
TRUE,100,100,100,75,60,33,17,10,10,,,,,,,,,,,,
TRUE,,,,,,,,,,,100,70,65,40,85,40,20,10,15,20,
TRUE,94,98,100,84,36,45,8,7,12,,,,,,,,,,,,
TRUE,99,100,100,80,88,40,35,11,27,0,,,,,,,,,,,
TRUE,,,,,,,,,,,85,68,77,73,76,40,13,5,11,22,0
TRUE,,,,,,,,,,,82,61,70,62,75,26,19,7,8,26,6
TRUE,,,,,,,,,,,96,68,69,49,75,38,10,17,21,23,2
TRUE,100,100,100,80,51,67,30,25,30,,,,,,,,,,,,
TRUE,95,95,100,75,65,30,12,4,8,,,,,,,,,,,,
