sid,quantifier,response,condition
1,Every_day,100,nominal
4,Every_day,100,nominal
6,Every_day,100,nominal
7,Every_day,72,nominal
10,Every_day,79,nominal
11,Every_day,100,nominal
13,Every_day,100,nominal
14,Every_day,100,nominal
19,Every_day,100,nominal
20,Every_day,100,nominal
22,Every_day,94,nominal
23,Every_day,99,nominal
27,Every_day,100,nominal
28,Every_day,95,nominal
29,Every_day,100,nominal
32,Every_day,100,nominal
34,Every_day,100,nominal
35,Every_day,100,nominal
38,Every_day,100,nominal
40,Every_day,100,nominal
41,Every_day,100,nominal
43,Every_day,100,nominal
46,Every_day,100,nominal
47,Every_day,100,nominal
50,Every_day,100,nominal
51,Every_day,100,nominal
53,Every_day,100,nominal
56,Every_day,95,nominal
1,each_day,100,nominal
4,each_day,100,nominal
6,each_day,100,nominal
7,each_day,100,nominal
10,each_day,76,nominal
11,each_day,100,nominal
13,each_day,100,nominal
14,each_day,100,nominal
19,each_day,100,nominal
20,each_day,100,nominal
22,each_day,98,nominal
23,each_day,100,nominal
27,each_day,100,nominal
28,each_day,95,nominal
29,each_day,100,nominal
34,each_day,100,nominal
35,each_day,100,nominal
38,each_day,100,nominal
40,each_day,100,nominal
41,each_day,10,nominal
43,each_day,100,nominal
46,each_day,100,nominal
47,each_day,100,nominal
50,each_day,100,nominal
51,each_day,100,nominal
53,each_day,100,nominal
56,each_day,100,nominal
1,all_days,100,nominal
4,all_days,100,nominal
6,all_days,100,nominal
7,all_days,100,nominal
10,all_days,100,nominal
11,all_days,100,nominal
13,all_days,100,nominal
14,all_days,100,nominal
19,all_days,100,nominal
20,all_days,100,nominal
22,all_days,100,nominal
23,all_days,100,nominal
27,all_days,100,nominal
28,all_days,100,nominal
29,all_days,100,nominal
32,all_days,100,nominal
34,all_days,100,nominal
35,all_days,100,nominal
38,all_days,100,nominal
40,all_days,100,nominal
41,all_days,100,nominal
43,all_days,100,nominal
46,all_days,100,nominal
47,all_days,100,nominal
50,all_days,100,nominal
51,all_days,100,nominal
53,all_days,100,nominal
56,all_days,100,nominal
1,most_days,90,nominal
4,most_days,80,nominal
6,most_days,77,nominal
7,most_days,81,nominal
10,most_days,66,nominal
11,most_days,75,nominal
13,most_days,71,nominal
14,most_days,85,nominal
19,most_days,75,nominal
20,most_days,75,nominal
22,most_days,84,nominal
23,most_days,80,nominal
27,most_days,80,nominal
28,most_days,75,nominal
29,most_days,92,nominal
32,most_days,70,nominal
34,most_days,85,nominal
35,most_days,80,nominal
38,most_days,70,nominal
40,most_days,81,nominal
41,most_days,61,nominal
43,most_days,54,nominal
46,most_days,75,nominal
47,most_days,70,nominal
50,most_days,66,nominal
51,most_days,60,nominal
53,most_days,80,nominal
56,most_days,70,nominal
1,many_days,64,nominal
4,many_days,65,nominal
6,many_days,64,nominal
7,many_days,80,nominal
10,many_days,62,nominal
11,many_days,65,nominal
13,many_days,68,nominal
14,many_days,75,nominal
19,many_days,50,nominal
